TeamName,OwnerID,OpponentName,OpponentID,TeamScore,OpponentScore,Week,Year
Chris,1191284,Lorenzo,2017413,150.96,104.42,14,2019
Rochas,2012141,LUCIAN,7582304,103.24,125.10,14,2019
DB,2442650,Matt,3190107,115.80,62.46,14,2019
Jody,271999,Ignacio,12608269,130.48,120.50,13,2019
Dajuan,276726,Francesco,10808626,132.20,124.42,13,2019
John,793573,Michael,7611079,141.40,130.74,13,2019
Ken,827363,Lorenzo,2017413,78.68,120.84,13,2019
Andreas,1088807,romain,1360516,129.32,156.82,13,2019
Chris,1191284,Rochas,2012141,74.86,125.86,13,2019
DB,2442650,Tomas,5892024,102.62,143.44,13,2019
Matt,3190107,LUCIAN,7582304,96.16,137.70,13,2019
Jody,271999,Tomas,5892024,150.78,94.70,12,2019
Dajuan,276726,romain,1360516,103.14,94.78,12,2019
John,793573,Matt,3190107,170.82,51.18,12,2019
Ken,827363,Chris,1191284,124.20,96.30,12,2019
Andreas,1088807,DB,2442650,120.74,109.28,12,2019
Rochas,2012141,LUCIAN,7582304,90.12,151.44,12,2019
Lorenzo,2017413,Michael,7611079,77.26,134.72,12,2019
Francesco,10808626,Ignacio,12608269,92.80,178.56,12,2019
Jody,271999,Andreas,1088807,143.16,90.30,11,2019
Dajuan,276726,Chris,1191284,91.52,127.82,11,2019
John,793573,Tomas,5892024,144.06,77.24,11,2019
Ken,827363,DB,2442650,90.22,88.24,11,2019
romain,1360516,Rochas,2012141,171.18,105.96,11,2019
Lorenzo,2017413,LUCIAN,7582304,115.44,176.42,11,2019
Matt,3190107,Francesco,10808626,74.26,126.54,11,2019
Michael,7611079,Ignacio,12608269,145.84,142.18,11,2019
Jody,271999,LUCIAN,7582304,104.50,132.96,10,2019
Dajuan,276726,Andreas,1088807,116.68,152.04,10,2019
John,793573,Rochas,2012141,167.66,102.70,10,2019
Ken,827363,Ignacio,12608269,83.32,147.94,10,2019
Chris,1191284,romain,1360516,111.68,196.78,10,2019
Lorenzo,2017413,DB,2442650,106.22,79.34,10,2019
Matt,3190107,Michael,7611079,85.64,146.54,10,2019
Tomas,5892024,Francesco,10808626,104.28,108.54,10,2019
Jody,271999,Chris,1191284,169.00,109.54,9,2019
Dajuan,276726,Ken,827363,143.16,106.58,9,2019
John,793573,Ignacio,12608269,137.14,117.44,9,2019
Andreas,1088807,Matt,3190107,116.04,78.26,9,2019
romain,1360516,Lorenzo,2017413,161.78,78.36,9,2019
